% Model:              测试刚度系数.mph
% Version:            COMSOL 6.3.0.290
% Date:               Mar 23 2026, 15:03
% Table:              探针表 1 - 
% F (N)                                           theta (deg)                                       位移场，X 分量 (µm), u                                  位移场，Y 分量 (µm), v
0.5                                               0                                                 0.2416509046367458                                3.9129194180805943E-4
0.5                                               20                                                0.6366501950407799                                -1.1452594279286126
0.5                                               40                                                1.0026189721000422                                -1.0120870505276591
0.5                                               59.99999999999999                                 0.7637012931215387                                -0.2104512450699375
0.5                                               80                                                0.35347300347620153                               0.2665716032592034
0.5                                               100                                               0.35253176570073774                               -0.26631669204072417
0.5                                               119.99999999999999                                0.7657383456242994                                0.21480700859575008
0.5                                               140                                               1.000170762712938                                 1.0084601268941686
0.5                                               160                                               0.6364461194420059                                1.1452195497990973
0.5                                               180                                               0.2416408721428228                                -9.804058059769552E-5
-0.5                                              0                                                 3.912919417074312E-4                              8.187643658989042
-0.5                                              20                                                -1.1452594279296173                               7.178651232870607
-0.5                                              40                                                -1.0120870505285813                               4.925358157578602
-0.5                                              59.99999999999999                                 -0.21045124506985588                              4.687190109036941
-0.5                                              80                                                0.2665716032598341                                7.109821226591261
-0.5                                              100                                               -0.2663166920406812                               7.123851532856191
-0.5                                              119.99999999999999                                0.2148070085958593                                4.6720085047388595
-0.5                                              140                                               1.0084601268939217                                4.9167785800105355
-0.5                                              160                                               1.1452195497991786                                7.1837403147662515
-0.5                                              180                                               -9.804058045401645E-5                             8.186205566442636
